Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Meniere Disease,1/33,0.0639803101343835,0.18570540106341435,0,0,15.151515151515152,41.65424086527227,HLA-DRB1
Mixed oligoastrocytoma,1/33,0.0639803101343835,0.18565057218798967,0,0,15.151515151515152,41.65424086527227,HIF1A
Nuclear cataract,1/33,0.0639803101343835,0.1855957756790794,0,0,15.151515151515152,41.65424086527227,TGM2
Polyarteritis Nodosa,1/33,0.0639803101343835,0.18554101150803218,0,0,15.151515151515152,41.65424086527227,VDR
Primary Lesion,1/33,0.0639803101343835,0.18548627964623038,0,0,15.151515151515152,41.65424086527227,IL10
Ataxia,2/208,0.06488474384517323,0.1880528642024071,0,0,4.8076923076923075,13.14972478186944,IFNG;TGM2
Congenital anemia,2/208,0.06488474384517323,0.1879974240891399,0,0,4.8076923076923075,13.14972478186944,IFNG;IRF1
Amyotrophic Lateral Sclerosis, Guam Form,1/34,0.06585543955628825,0.19075368699062806,0,0,14.705882352941176,40.004312484496026,SOD1
Carcinoma, Ehrlich Tumor,1/34,0.06585543955628825,0.19069748378291132,0,0,14.705882352941176,40.004312484496026,HIF1A
Angle Closure Glaucoma,1/34,0.06585543955628825,0.19064131368459528,0,0,14.705882352941176,40.004312484496026,MTHFR
Autosomal Recessive Parkinsonism,1/34,0.06585543955628825,0.19058517666643138,0,0,14.705882352941176,40.004312484496026,PRL
Generalized Anxiety Disorder,1/34,0.06585543955628825,0.19052907269920547,0,0,14.705882352941176,40.004312484496026,INS
Gestational trophoblastic disease,1/34,0.06585543955628825,0.19047300175373777,0,0,14.705882352941176,40.004312484496026,TNF
Infant Acute Lymphoblastic Leukemia,1/34,0.06585543955628825,0.1904169638008829,0,0,14.705882352941176,40.004312484496026,S100A9
Metastatic Carcinoma,1/34,0.06585543955628825,0.1903609588115297,0,0,14.705882352941176,40.004312484496026,IL2
Neurofibromatosis 1,2/210,0.06597851849908759,0.1906606526930411,0,0,4.761904761904762,12.944886034388052,TGFB1;TNF
Gait, Drop Foot,1/35,0.06772690632728534,0.1956555071677132,0,0,14.285714285714285,38.461024904975446,SOD1
Cervical Dystonia,1/35,0.06772690632728534,0.19559801216119904,0,0,14.285714285714285,38.461024904975446,HLA-DRB1
Complete trisomy 18 syndrome,1/35,0.06772690632728534,0.19554055093553477,0,0,14.285714285714285,38.461024904975446,MTHFR
Hemianopsia,1/35,0.06772690632728534,0.1954831234609575,0,0,14.285714285714285,38.461024904975446,PRL
Hereditary Melanoma,1/35,0.06772690632728534,0.1954257297077394,0,0,14.285714285714285,38.461024904975446,S100A9
Intracranial Hypertension,1/35,0.06772690632728534,0.19536836964618734,0,0,14.285714285714285,38.461024904975446,HMGB1
Intrahepatic Cholestasis,1/35,0.06772690632728534,0.19531104324664328,0,0,14.285714285714285,38.461024904975446,HLA-DRB1
Juvenile Myoclonic Epilepsy,1/35,0.06772690632728534,0.19525375047948382,0,0,14.285714285714285,38.461024904975446,HLA-DRB1
Low Grade Squamous Intraepithelial Neoplasia,1/35,0.06772690632728534,0.19519649131512032,0,0,14.285714285714285,38.461024904975446,HLA-DRB1
Skeletal muscle atrophy,2/215,0.06874018071329573,0.1980587792583613,0,0,4.651162790697675,12.453122691276675,TGFB1;SOD1
Neurogenic muscle atrophy, especially in the lower limbs,2/215,0.06874018071329573,0.19800073155048956,0,0,4.651162790697675,12.453122691276675,TGFB1;SOD1
Astrocytoma, low grade,1/36,0.06959471740161192,0.2004034229777445,0,0,13.888888888888888,37.01481408228327,HIF1A
Exocrine pancreatic insufficiency,1/36,0.06959471740161192,0.2003447225023556,0,0,13.888888888888888,37.01481408228327,TGFB1
Fatigable weakness of respiratory muscles,1/36,0.06959471740161192,0.20028605640499034,0,0,13.888888888888888,37.01481408228327,SOD1
Inflammatory Myofibroblastic Tumor,1/36,0.06959471740161192,0.20022742465545726,0,0,13.888888888888888,37.01481408228327,IL6
Invasive Streptococcus pneumoniae disease,1/36,0.06959471740161192,0.20016882722360024,0,0,13.888888888888888,37.01481408228327,IL1B
Learning Disorders,1/36,0.06959471740161192,0.2001102640792984,0,0,13.888888888888888,37.01481408228327,IL1B
Ocular Hypertension,1/36,0.06959471740161192,0.20005173519246622,0,0,13.888888888888888,37.01481408228327,SOD1
Plexiform Neurofibroma,1/36,0.06959471740161192,0.19999324053305323,0,0,13.888888888888888,37.01481408228327,S100A9
Adenoma, Basal Cell,1/37,0.07145887974209389,0.20529022803428787,0,0,13.513513513513514,35.657204097603866,PRL
Adenoma, Monomorphic,1/37,0.07145887974209389,0.20523023673445318,0,0,13.513513513513514,35.657204097603866,PRL
Glomerulonephritis, Membranoproliferative,1/37,0.07145887974209389,0.2051702804865027,0,0,13.513513513513514,35.657204097603866,IL1B
Tubular Aggregate Myopathy,1/37,0.07145887974209389,0.20511035925972512,0,0,13.513513513513514,35.657204097603866,IL10
Aplasia/Hypoplasia of the radius,1/37,0.07145887974209389,0.2050504730234449,0,0,13.513513513513514,35.657204097603866,TGFB1
Fatigable weakness of swallowing muscles,1/37,0.07145887974209389,0.2049906217470224,0,0,13.513513513513514,35.657204097603866,SOD1
Flat back of the head,1/37,0.07145887974209389,0.20493080539985375,0,0,13.513513513513514,35.657204097603866,VDR
Fuchs Endothelial Dystrophy,1/37,0.07145887974209389,0.20487102395137072,0,0,13.513513513513514,35.657204097603866,ETS1
Hemorrhage,1/37,0.07145887974209389,0.20481127737104077,0,0,13.513513513513514,35.657204097603866,IL6
Immunoblastic Large-Cell Lymphoma,1/37,0.07145887974209389,0.204751565628367,0,0,13.513513513513514,35.657204097603866,VDR
Juvenile Pilocytic Astrocytoma,1/37,0.07145887974209389,0.204691888692888,0,0,13.513513513513514,35.657204097603866,HIF1A
Leukoaraiosis,1/37,0.07145887974209389,0.20463224653417797,0,0,13.513513513513514,35.657204097603866,MTHFR
Malignant neoplasm of oropharynx,1/37,0.07145887974209389,0.20457263912184642,0,0,13.513513513513514,35.657204097603866,IL10
Malignant neoplasm of pharynx,1/37,0.07145887974209389,0.20451306642553838,0,0,13.513513513513514,35.657204097603866,IL1B
Obstructive azoospermia,1/37,0.07145887974209389,0.20445352841493414,0,0,13.513513513513514,35.657204097603866,MTHFR
Pelvic Organ Prolapse,1/37,0.07145887974209389,0.20439402505974935,0,0,13.513513513513514,35.657204097603866,IL6
Adenoma, Trabecular,1/38,0.07331940027913937,0.20965465986132722,0,0,13.157894736842104,34.38065836240793,PRL
Sensorimotor neuropathy,1/38,0.07331940027913937,0.2095936782848696,0,0,13.157894736842104,34.38065836240793,SOD1
Spastic gait,1/38,0.07331940027913937,0.2095327321731264,0,0,13.157894736842104,34.38065836240793,SOD1
Nephritis, Tubulointerstitial,1/38,0.07331940027913937,0.2094718214951691,0,0,13.157894736842104,34.38065836240793,HLA-DRB1
Chronic eosinophilic leukemia,1/38,0.07331940027913937,0.20941094622010512,0,0,13.157894736842104,34.38065836240793,IFNG
DOWN SYNDROME CRITICAL REGION,1/38,0.07331940027913937,0.2093501063170778,0,0,13.157894736842104,34.38065836240793,TNF
Genu varum,1/38,0.07331940027913937,0.20928930175526625,0,0,13.157894736842104,34.38065836240793,VDR
Keratosis,1/38,0.07331940027913937,0.2092285325038855,0,0,13.157894736842104,34.38065836240793,VDR
Papillary adenoma,1/38,0.07331940027913937,0.20916779853218628,0,0,13.157894736842104,34.38065836240793,PRL
Pituitary dwarfism,1/38,0.07331940027913937,0.20910709980945494,0,0,13.157894736842104,34.38065836240793,PRL
Prostatic Diseases,1/38,0.07331940027913937,0.20904643630501354,0,0,13.157894736842104,34.38065836240793,TGFB1
Tremor,2/226,0.07494853275378349,0.21362940252441537,0,0,4.424778761061947,11.464396597163386,IL10;IL6
Streptococcal pneumonia,1/39,0.07517628596858959,0.21421645071014744,0,0,12.82051282051282,33.178454409240665,IL6
Subependymal Giant Cell Astrocytoma,1/39,0.07517628596858959,0.2141543589853039,0,0,12.82051282051282,33.178454409240665,HIF1A
Adenocarcinoma of rectum,1/39,0.07517628596858959,0.21409230324523282,0,0,12.82051282051282,33.178454409240665,HIF1A
Flat occiput,1/39,0.07517628596858959,0.2140302834586612,0,0,12.82051282051282,33.178454409240665,VDR
Growth Disorders,1/39,0.07517628596858959,0.2139682995943523,0,0,12.82051282051282,33.178454409240665,AHR
Lymphatic Diseases,1/39,0.07517628596858959,0.21390635162110552,0,0,12.82051282051282,33.178454409240665,IL10
Malignant neoplasm of adrenal cortex,1/39,0.07517628596858959,0.21384443950775645,0,0,12.82051282051282,33.178454409240665,TNF
Neonatal diabetes mellitus,1/39,0.07517628596858959,0.21378256322317665,0,0,12.82051282051282,33.178454409240665,INS
Ovarian failure,1/39,0.07517628596858959,0.2137207227362738,0,0,12.82051282051282,33.178454409240665,AHR
Seminoma,2/229,0.07667234184000585,0.2179108662821219,0,0,4.366812227074235,11.214909333915354,IL10;TNF
Drug abuse,2/229,0.07667234184000585,0.21784786805538522,0,0,4.366812227074235,11.214909333915354,IL6;TNF
No development of motor milestones,2/229,0.07667234184000585,0.2177849062438085,0,0,4.366812227074235,11.214909333915354,VDR;INS
Anxiety States, Neurotic,1/40,0.07702954369316486,0.21873630610124942,0,0,12.5,32.044578079870575,TNF
Degenerative Diseases, Spinal Cord,1/40,0.07702954369316486,0.2186731240370954,0,0,12.5,32.044578079870575,IL6
Xeroderma pigmentosum, group A,1/40,0.07702954369316486,0.2186099784627272,0,0,12.5,32.044578079870575,HIF1A
Abnormal coordination,1/40,0.07702954369316486,0.2185468693465428,0,0,12.5,32.044578079870575,MTHFR
Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome,1/40,0.07702954369316486,0.2184837966569767,0,0,12.5,32.044578079870575,IRF1
Adrenal cortical hypofunction,1/40,0.07702954369316486,0.2184207603624998,0,0,12.5,32.044578079870575,MTHFR
Anthrax disease,1/40,0.07702954369316486,0.21835776043161934,0,0,12.5,32.044578079870575,HIF1A
Congenital omphalocele,1/40,0.07702954369316486,0.21829479683287897,0,0,12.5,32.044578079870575,MTHFR
Hypokalemia,1/40,0.07702954369316486,0.21823186953485854,0,0,12.5,32.044578079870575,INS
Prostate cancer recurrent,1/40,0.07702954369316486,0.21816897850617414,0,0,12.5,32.044578079870575,IL6
Motor delay,2/232,0.07840888119743594,0.22201166361521188,0,0,4.310344827586206,10.973353782163771,VDR;INS
Schwartz-Jampel Syndrome,1/41,0.07887918037823767,0.223278970264205,0,0,12.195121951219512,30.97363365224591,HLA-DRB1
Human immunodeficiency virus, type 2 [HIV-2] infection in conditions classified elsewhere and of unspecified site,1/41,0.07887918037823767,0.22321468032171604,0,0,12.195121951219512,30.97363365224591,IL6R
Pancreatitis, Alcoholic,1/41,0.07887918037823767,0.22315042739128377,0,0,12.195121951219512,30.97363365224591,CD14
Alcoholic Intoxication,1/41,0.07887918037823767,0.22308621144095533,0,0,12.195121951219512,30.97363365224591,MTHFR
Hypoplastic Left Heart Syndrome,1/41,0.07887918037823767,0.22302203243881466,0,0,12.195121951219512,30.97363365224591,ETS1
Laryngeal neoplasm,1/41,0.07887918037823767,0.2229578903529824,0,0,12.195121951219512,30.97363365224591,AHR
Malignant Meningioma,1/41,0.07887918037823767,0.22289378515161581,0,0,12.195121951219512,30.97363365224591,TGFB1
Monoclonal B-Cell Lymphocytosis,1/41,0.07887918037823767,0.22282971680290883,0,0,12.195121951219512,30.97363365224591,IL2
Degenerative Diseases, Central Nervous System,1/42,0.0807252029061721,0.22797910751777573,0,0,11.904761904761903,29.960767247533752,IL6
Vertical Talus,1/42,0.0807252029061721,0.22791361509964364,0,0,11.904761904761903,29.960767247533752,MTHFR
Bulimia Nervosa,1/42,0.0807252029061721,0.22784816029921295,0,0,11.904761904761903,29.960767247533752,DPP4
Cerebellar Diseases,1/42,0.0807252029061721,0.22778274308408253,0,0,11.904761904761903,29.960767247533752,IFNG
Cerebral Edema,1/42,0.0807252029061721,0.22771736342188847,0,0,11.904761904761903,29.960767247533752,TNF
Thin dental enamel,1/43,0.08256761817264792,0.23284779093279304,0,0,11.627906976744185,29.001601245673253,VDR
Transient Cerebral Ischemia,1/43,0.08256761817264792,0.23278099581204353,0,0,11.627906976744185,29.001601245673253,SOD1
Yolk Sac Tumor,1/43,0.08256761817264792,0.23271423900223223,0,0,11.627906976744185,29.001601245673253,RUNX3
Chloracne,1/43,0.08256761817264792,0.23264752047040818,0,0,11.627906976744185,29.001601245673253,AHR
Defective enamel matrix,1/43,0.08256761817264792,0.2325808401836583,0,0,11.627906976744185,29.001601245673253,VDR
Dysplasia of tooth enamel,1/43,0.08256761817264792,0.2325141981091071,0,0,11.627906976744185,29.001601245673253,VDR
Flushing,1/43,0.08256761817264792,0.23244759421391686,0,0,11.627906976744185,29.001601245673253,CXCL10
Gemistocytic astrocytoma,1/43,0.08256761817264792,0.23238102846528744,0,0,11.627906976744185,29.001601245673253,HIF1A
Hyperlipoproteinemias,1/43,0.08256761817264792,0.23231450083045627,0,0,11.627906976744185,29.001601245673253,TGFB1
Hyponatremia,1/43,0.08256761817264792,0.23224801127669828,0,0,11.627906976744185,29.001601245673253,IFNG
Insulin resistance syndrome,1/43,0.08256761817264792,0.23218155977132582,0,0,11.627906976744185,29.001601245673253,TNF
Non-small cell lung cancer metastatic,1/43,0.08256761817264792,0.23211514628168872,0,0,11.627906976744185,29.001601245673253,MTHFR
Radial deviation of finger,1/43,0.08256761817264792,0.23204877077517408,0,0,11.627906976744185,29.001601245673253,INS
AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED,1/44,0.08440643303029116,0.23714877753622113,0,0,11.363636363636363,28.092177949395815,IL10
Sickle Cell Trait,1/44,0.08440643303029116,0.23708100137802274,0,0,11.363636363636363,28.092177949395815,IL10
Liposarcoma, Myxoid,1/44,0.08440643303029116,0.23701326394905758,0,0,11.363636363636363,28.092177949395815,IL6
Strawberry nevus of skin,1/44,0.08440643303029116,0.2369455652161387,0,0,11.363636363636363,28.092177949395815,IL6
Abnormal form of the vertebral bodies,1/44,0.08440643303029116,0.23687790514611695,0,0,11.363636363636363,28.092177949395815,VDR
Apraxias,1/44,0.08440643303029116,0.2368102837058811,0,0,11.363636363636363,28.092177949395815,IL2RA
Birth Weight,1/44,0.08440643303029116,0.23674270086235774,0,0,11.363636363636363,28.092177949395815,AHR
Congenital anomaly of brain,1/44,0.08440643303029116,0.23667515658251112,0,0,11.363636363636363,28.092177949395815,IL10
Conjunctivitis,1/44,0.08440643303029116,0.23660765083334329,0,0,11.363636363636363,28.092177949395815,TNF
Glycosuria,1/44,0.08440643303029116,0.2365401835818938,0,0,11.363636363636363,28.092177949395815,INS
Osteosclerosis,1/44,0.08440643303029116,0.23647275479523988,0,0,11.363636363636363,28.092177949395815,TGFB1
Peripheral motor neuropathy,1/44,0.08440643303029116,0.2364053644404963,0,0,11.363636363636363,28.092177949395815,SOD1
Leukemia, Plasma Cell,1/45,0.08624165433518965,0.24147663213853102,0,0,11.11111111111111,27.228910989816466,IL6
Obesity, Visceral,1/45,0.08624165433518965,0.24140785497187237,0,0,11.11111111111111,27.228910989816466,DPP4
Chondrodysplasia,1/45,0.08624165433518965,0.24133911697216512,0,0,11.11111111111111,27.228910989816466,STAT1
Congenital neutropenia,1/45,0.08624165433518965,0.24127041810596184,0,0,11.11111111111111,27.228910989816466,IL1B
Hypoparathyroidism,1/45,0.08624165433518965,0.24120175833985313,0,0,11.11111111111111,27.228910989816466,VDR
Impulsive character (finding),1/45,0.08624165433518965,0.24113313764046768,0,0,11.11111111111111,27.228910989816466,PRL
LATERAL MENINGOCELE SYNDROME,1/45,0.08624165433518965,0.2410645559744721,0,0,11.11111111111111,27.228910989816466,IFNG
Melanoderma (disorder),1/45,0.08624165433518965,0.2409960133085709,0,0,11.11111111111111,27.228910989816466,IL12A
Myxoid/Round Cell Liposarcoma,1/45,0.08624165433518965,0.2409275096095065,0,0,11.11111111111111,27.228910989816466,IL6
Panhypopituitarism,1/45,0.08624165433518965,0.24085904484405907,0,0,11.11111111111111,27.228910989816466,PRL
Telangiectasia of the skin,1/46,0.08807328892912575,0.24590462602143404,0,0,10.869565217391305,26.408543286666195,HLA-DRB1
Telangiectasis,1/46,0.08807328892912575,0.24583478659342453,0,0,10.869565217391305,26.408543286666195,TNF
Thrombus,1/46,0.08807328892912575,0.24576498682437473,0,0,10.869565217391305,26.408543286666195,TNF
Basal Cell Nevus Syndrome,1/46,0.08807328892912575,0.24569522668051313,0,0,10.869565217391305,26.408543286666195,HLA-DRB1
Drusen,1/46,0.08807328892912575,0.24562550612810663,0,0,10.869565217391305,26.408543286666195,SOD1
Exfoliative dermatitis,1/46,0.08807328892912575,0.24555582513346036,0,0,10.869565217391305,26.408543286666195,DPP4
Hereditary Diseases,1/46,0.08807328892912575,0.2454861836629177,0,0,10.869565217391305,26.408543286666195,VDR
Ketosis,1/46,0.08807328892912575,0.24541658168286015,0,0,10.869565217391305,26.408543286666195,HLA-DRB1
Malignant neoplasm of male breast,1/46,0.08807328892912575,0.2453470191597074,0,0,10.869565217391305,26.408543286666195,HIF1A
Undergrowth,3/529,0.08860366429809892,0.24675455163551038,0,0,2.835538752362949,6.8721608633080065,IL21;VDR;INS
Severe congenital neutropenia,1/47,0.08990134362975671,0.25029756521055213,0,0,10.638297872340425,25.62811055096019,IL1B
Chronic pain,1/47,0.08990134362975671,0.25022667946566096,0,0,10.638297872340425,25.62811055096019,IL17A
FRAGILE X TREMOR/ATAXIA SYNDROME,1/47,0.08990134362975671,0.25015583385992324,0,0,10.638297872340425,25.62811055096019,IL10
Hemangioblastoma,1/47,0.08990134362975671,0.2500850283592553,0,0,10.638297872340425,25.62811055096019,HIF1A
Hemoglobinopathies,1/47,0.08990134362975671,0.25001426292961204,0,0,10.638297872340425,25.62811055096019,TGFB1
LIMB-MAMMARY SYNDROME,1/47,0.08990134362975671,0.24994353753698698,0,0,10.638297872340425,25.62811055096019,IFNG
Peripheral demyelinating neuropathy,1/47,0.08990134362975671,0.24987285214741203,0,0,10.638297872340425,25.62811055096019,CXCL10
Protein measurement,1/47,0.08990134362975671,0.24980220672695758,0,0,10.638297872340425,25.62811055096019,HLA-DQA1
Hydrocephalus,2/253,0.0909041078221756,0.2525171203155291,0,0,3.952569169960474,9.478063589947741,HMGB1;PRL
Renal tubular disorder,1/48,0.09172582526946642,0.25472772273193445,0,0,10.416666666666666,24.88490949549096,IL1B
Cytochrome-c Oxidase Deficiency,1/48,0.09172582526946642,0.25465576574811183,0,0,10.416666666666666,24.88490949549096,SOD1
Failure to gain weight,3/539,0.09248544248163783,0.256692157218169,0,0,2.7829313543599254,6.625335877808775,IL21;VDR;INS
Abnormality of vision,1/49,0.09354674065934461,0.25956447408245026,0,0,10.204081632653061,24.176470076489615,HLA-DRB1
Amenorrhea,1/49,0.09354674065934461,0.25949121287045973,0,0,10.204081632653061,24.176470076489615,PRL
Cardiovascular Abnormalities,1/49,0.09354674065934461,0.2594179930022683,0,0,10.204081632653061,24.176470076489615,IL6
Central nervous system demyelination,1/49,0.09354674065934461,0.25934481444288826,0,0,10.204081632653061,24.176470076489615,IL2
Dental Enamel Hypoplasia,1/49,0.09354674065934461,0.25927167715737137,0,0,10.204081632653061,24.176470076489615,VDR
Fibrinogen assay,1/49,0.09354674065934461,0.2591985811108088,0,0,10.204081632653061,24.176470076489615,IL6R
Medullary carcinoma,1/49,0.09354674065934461,0.25912552626833113,0,0,10.204081632653061,24.176470076489615,TNF
Pediatric failure to thrive,3/543,0.0940581376248541,0.2604686888072883,0,0,2.762430939226519,6.529950835703305,IL21;VDR;INS
Carcinosarcoma,1/50,0.09536409657552716,0.26401080032233265,0,0,10.0,23.50053117532367,TGFB1
Clostridium; difficile (disorder),1/50,0.09536409657552716,0.2639364520259873,0,0,10.0,23.50053117532367,IL6
Hypercalciuria,1/50,0.09536409657552716,0.26386214559242144,0,0,10.0,23.50053117532367,VDR
Idiopathic generalized epilepsy,1/50,0.09536409657552716,0.2637878809862879,0,0,10.0,23.50053117532367,IL6
Lymphedema,1/50,0.09536409657552716,0.2637136581722794,0,0,10.0,23.50053117532367,IL6
Muscular fasciculation,1/50,0.09536409657552716,0.26363947711512825,0,0,10.0,23.50053117532367,SOD1
Opiate Addiction,1/50,0.09536409657552716,0.26356533777960656,0,0,10.0,23.50053117532367,IL1B
Tardive Dyskinesia,1/51,0.09717789979173756,0.2685027830062403,0,0,9.80392156862745,22.855019232996256,TNF
Adrenal Cushing's syndrome,1/51,0.09717789979173756,0.2684273184803813,0,0,9.80392156862745,22.855019232996256,IL6
Adult Lymphoma,1/51,0.09717789979173756,0.26835189636223566,0,0,9.80392156862745,22.855019232996256,IFNG
Bicuspid aortic valve,1/51,0.09717789979173756,0.2682765166160665,0,0,9.80392156862745,22.855019232996256,TGFB1
Breast Diseases,1/51,0.09717789979173756,0.26820117920617714,0,0,9.80392156862745,22.855019232996256,PRL
C-reactive protein measurement,1/51,0.09717789979173756,0.26812588409691096,0,0,9.80392156862745,22.855019232996256,IL6R
Cystadenoma,1/51,0.09717789979173756,0.26805063125265133,0,0,9.80392156862745,22.855019232996256,HIF1A
Drug-induced tardive dyskinesia,1/51,0.09717789979173756,0.26797542063782176,0,0,9.80392156862745,22.855019232996256,TNF
Hematuria,1/51,0.09717789979173756,0.26790025221688546,0,0,9.80392156862745,22.855019232996256,IL10
Hypsarrhythmia,1/51,0.09717789979173756,0.2678251259543457,0,0,9.80392156862745,22.855019232996256,INS
Metaplasia,1/51,0.09717789979173756,0.2677500418147454,0,0,9.80392156862745,22.855019232996256,IL10
NONAKA MYOPATHY,1/51,0.09717789979173756,0.26767499976266723,0,0,9.80392156862745,22.855019232996256,PRL
Gait, Unsteady,1/52,0.09898815707684175,0.2725849279213227,0,0,9.615384615384615,22.238029437400897,SOD1
Behavioral Symptoms,1/52,0.09898815707684175,0.2725085735997761,0,0,9.615384615384615,22.238029437400897,MTHFR
Friedreich Ataxia,1/52,0.09898815707684175,0.2724322620417812,0,0,9.615384615384615,22.238029437400897,IFNG
Hypocalcemia,1/52,0.09898815707684175,0.2723559932114224,0,0,9.615384615384615,22.238029437400897,VDR
Myopia,2/269,0.10079438999179408,0.27724804501521194,0,0,3.7174721189591073,8.530381337312154,TGFB1;VDR
Leukemia, Lymphocytic, Acute, L2,1/53,0.10079487520046404,0.2771718056715614,0,0,9.433962264150942,21.64780911228837,MTHFR
Stevens-Johnson Syndrome,1/53,0.10079487520046404,0.2770942750965484,0,0,9.433962264150942,21.64780911228837,IFNG
Anxiety neurosis (finding),1/53,0.10079487520046404,0.27701678788315454,0,0,9.433962264150942,21.64780911228837,TNF
Bradycardia,1/53,0.10079487520046404,0.27693934399501274,0,0,9.433962264150942,21.64780911228837,PRL
Childhood Lymphoma,1/53,0.10079487520046404,0.2768619433957967,0,0,9.433962264150942,21.64780911228837,IFNG
granulosa cell tumor,1/53,0.10079487520046404,0.2767845860492206,0,0,9.433962264150942,21.64780911228837,RUNX3
Hypophosphatemia,1/53,0.10079487520046404,0.27670727191903927,0,0,9.433962264150942,21.64780911228837,VDR
NEUROTICISM,1/53,0.10079487520046404,0.2766300009690479,0,0,9.433962264150942,21.64780911228837,MTHFR
Cognition,1/54,0.10259806088452916,0.2815002072510197,0,0,9.259259259259258,21.082743020231433,DPP4
Drug Withdrawal Symptoms,1/54,0.10259806088452916,0.2814216417452282,0,0,9.259259259259258,21.082743020231433,PRL
Pancreatic Diseases,1/54,0.10259806088452916,0.2813431200817948,0,0,9.259259259259258,21.082743020231433,IL6
Hallucinations, Sensory,1/55,0.10439772086926839,0.2861982707679692,0,0,9.09090909090909,20.541340313872972,HLA-DRB1
Spastic Quadriplegia,1/55,0.10439772086926839,0.2861184608765113,0,0,9.09090909090909,20.541340313872972,IL6
Primary central nervous system lymphoma,1/55,0.10439772086926839,0.2860386954845748,0,0,9.09090909090909,20.541340313872972,MTHFR
Adenoviral infections,1/56,0.10619386186177694,0.29087883901269335,0,0,8.928571428571427,20.022222944253272,TNF
Adult Cholangiocarcinoma,1/56,0.10619386186177694,0.2907977916905945,0,0,8.928571428571427,20.022222944253272,TGFB1
Glucocorticoid Receptor Deficiency,1/56,0.10619386186177694,0.2907167895202072,0,0,8.928571428571427,20.022222944253272,S100A9
Parathyroid Neoplasms,1/56,0.10619386186177694,0.2906358324638106,0,0,8.928571428571427,20.022222944253272,VDR
Pituitary-dependent Cushing's disease,1/56,0.10619386186177694,0.290554920483726,0,0,8.928571428571427,20.022222944253272,PRL
Sentinel node (disorder),1/57,0.10798649057416929,0.2953774643370264,0,0,8.771929824561402,19.52411532419468,IL10
Ectodermal Dysplasia,1/57,0.10798649057416929,0.29529527806425593,0,0,8.771929824561402,19.52411532419468,IFNG
Geographic Atrophy,1/57,0.10798649057416929,0.29521313751402944,0,0,8.771929824561402,19.52411532419468,IL6
Obsessive compulsive behavior,1/57,0.10798649057416929,0.2951310426482024,0,0,8.771929824561402,19.52411532419468,TNF
Recurrent bacterial infection,1/58,0.10977561369601414,0.2999373732011195,0,0,8.620689655172413,19.045835103967377,IL2RA
Substance Withdrawal Syndrome,1/58,0.10977561369601414,0.29985401095175845,0,0,8.620689655172413,19.045835103967377,PRL
Extrapyramidal Disorders,1/58,0.10977561369601414,0.29977069502762627,0,0,8.620689655172413,19.045835103967377,PRL
Increased susceptibility to bacterial infections,1/58,0.10977561369601414,0.2996874253901186,0,0,8.620689655172413,19.045835103967377,IL2RA
Large cell carcinoma of lung,1/58,0.10977561369601414,0.29960420200067395,0,0,8.620689655172413,19.045835103967377,IL2
Oncocytic Neoplasm,1/58,0.10977561369601414,0.2995210248207737,0,0,8.620689655172413,19.045835103967377,PRL
Prone to bacterial infection,1/58,0.10977561369601414,0.29943789381194197,0,0,8.620689655172413,19.045835103967377,IL2RA
Skin Abnormalities,1/59,0.11156123790942149,0.3042241526564357,0,0,8.474576271186441,18.58628491465166,VDR
Squamous cell carcinoma of mouth,1/59,0.11156123790942149,0.30413976315500535,0,0,8.474576271186441,18.58628491465166,HIF1A
Paraparesis, Spastic,1/59,0.11156123790942149,0.30405542045862294,0,0,8.474576271186441,18.58628491465166,MTHFR
Urinary Incontinence,1/59,0.11156123790942149,0.30397112452835995,0,0,8.474576271186441,18.58628491465166,TGFB1
Generalized myoclonic seizures,1/59,0.11156123790942149,0.30388687532533104,0,0,8.474576271186441,18.58628491465166,INS
Leukocyte adhesion deficiency type 1,1/59,0.11156123790942149,0.3038026728106939,0,0,8.474576271186441,18.58628491465166,IL17A
Angelman Syndrome,1/60,0.11334336985743067,0.3085702600993985,0,0,8.333333333333334,18.14444496996221,MTHFR
Factor V Leiden mutation,1/60,0.11334336985743067,0.3084848072442062,0,0,8.333333333333334,18.14444496996221,MTHFR
Gastrointestinal Stromal Sarcoma,1/60,0.11334336985743067,0.30839940170510205,0,0,8.333333333333334,18.14444496996221,DPP4
Aura,1/61,0.11512201623397456,0.31315227665305895,0,0,8.196721311475411,17.719366412809286,TGFB1
Awakening Epilepsy,1/61,0.11512201623397456,0.31306562688088047,0,0,8.196721311475411,17.719366412809286,TGFB1
Ganglioglioma,1/61,0.11512201623397456,0.31297902504771835,0,0,8.196721311475411,17.719366412809286,IL12A
Marijuana Abuse,1/62,0.11689718365152524,0.31771723476968755,0,0,8.064516129032258,17.310165344679206,IL1B
Nijmegen Breakage Syndrome,1/62,0.11689718365152524,0.31762939478219243,0,0,8.064516129032258,17.310165344679206,IL2
Phyllodes Tumor,1/62,0.11689718365152524,0.3175416033519044,0,0,8.064516129032258,17.310165344679206,HIF1A
Epilepsy, Cryptogenic,1/63,0.11866887875611117,0.32226519491988415,0,0,7.936507936507936,16.916017426736325,TGFB1
